M,I,v,S,A,E_f,V_i,V_f,Q_i,Q_f,Ierr,g_i,g_f,DOI
26,1,199.0351099999989,3.9015557955886584e-41,5.8541e-07,7767.354412000001,2 1 0 1 0 0 0E1g,0 2 0 0 1 0 1E2u,5A2g  1E1g,5A2u  2E2g,0.0007211102550927978,33,33,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,200.19475399999965,3.6232825557403693e-31,3.7042e-07,2973.1595820000002,0 0 0 1 3 0 0E2u,1 0 0 0 0 0 1E1g,18A1u  2E2g,18A1g  1E1g,0.000848528137423857,37,37,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,200.91038799999933,6.194006402963144e-33,1.7858e-05,4782.454442,0 1 0 0 1 0 1E2u,0 1 0 1 0 1 0A1g,14A2u  2E2g,13A2g  0A2g,0.0006708203932499369,87,81,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,200.97990799999934,2.494372734432876e-33,5.1485e-07,4290.007653000001,0 1 0 1 0 0 0E1u,2 0 0 0 0 0 0A1g,18A2u  1E1g,17A2g  0A2g,0.0008062257748298549,111,105,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,200.9852860000001,6.783062183769209e-32,2.931e-05,4151.1604609999995,1 0 0 0 0 3 0E1u,0 1 0 0 0 0 1E1g,13A1u  1E1g,12A1g  1E1g,0.00022360679774997898,27,25,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,201.061380000001,6.979439545695147e-39,0.004021800000000001,8846.067174,1 1 0 4 0 0 0A1g,3 0 0 0 0 3 0E1u,27A2g  0A2g,26A2u  1E1g,0.0003605551275463989,165,159,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,201.08339499999965,2.7702431190022215e-41,6.6228e-05,9123.218857,2 1 0 0 1 1 0A1u,0 2 0 3 0 0 0E1g,25A2u  0A2g,24A2g  1E1g,0.0004123105625617661,153,147,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,201.34555399999954,1.8378337650514624e-44,2.9803e-08,8998.085846,2 1 0 0 1 0 1E2g,1 2 0 0 0 0 0A2u,20A2g  2E2g,20A2u  0A1g,0.0003605551275463989,123,123,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,201.67963299999974,9.015326734523497e-45,2.1650000000000002e-08,9097.534654000001,2 1 0 0 1 0 1E2g,1 2 0 0 0 0 0A2u,22A2g  2E2g,22A2u  0A1g,0.0005385164807134503,135,135,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
26,1,201.80596200000036,1.0030145374250137e-40,9.7076e-06,8407.240549,1 1 0 4 0 0 0A1g,0 2 0 1 1 0 0E2u,19A2g  0A2g,18A2u  2E2g,0.0009433981132056604,117,111,"10.1093/mnras/sty1542 , 10.1093/mnras/sty2050"
